Nr,Rendi,Familja,Lloji,Referenca
35,Trichoptera,Hydropsychidae,"Hydropsyche peristerica Botosaneanu and Marinković-Gospodnetić, 1968","(Ibrahimi et al., 2014)"
36,Trichoptera,Hydropsychidae,"Hydropsyche saxonica McLachlan, 1884","(Ibrahimi et al., 2014)"
37,Trichoptera,Hydropsychidae,"Hydropsyche tabacarui Botosaneanu, 1960","(Ibrahimi et al., 2014)"
38,Trichoptera,Hydroptilidae,"Agraylea sexmaculata Curtis, 1834","(Salihu et al., 2023)"
39,Trichoptera,Hydroptilidae,"Hydroptila forcipata (Eaton, 1873)","(Salihu et al., 2023)"
40,Trichoptera,Hydroptilidae,"Hydroptila ivisa Malicky, 1972","(Bilalli et al., 2024)"
41,Trichoptera,Hydroptilidae,"Hydroptila kalonichtis Malicky, 1772","(Bilalli et al., 2023)"
42,Trichoptera,Hydroptilidae,"Hydroptila lotensis Mosely, 1930","(Ibrahimi et al., 2024)"
43,Trichoptera,Hydroptilidae,"Hydroptila martini Marshall, 1977","(Bilalli et al., 2023)"
44,Trichoptera,Hydroptilidae,"Hydroptila occulata (Eaton, 1873)","(Bilalli et al., 2023)"
45,Trichoptera,Hydroptilidae,"Hydroptila simulans Mosely, 1920","(Ibrahimi et al., 2024)"
46,Trichoptera,Hydroptilidae,"Hydroptila taurica Martynov, 1934,","(Bilalli et al., 2018)"
47,Trichoptera,Hydroptilidae,"Hydroptila vectis Curtis, 1834","(Ibrahimi et al., 2024)"
48,Trichoptera,Hydroptilidae,"Ithytrichia lamellaris (Eaton, 1873)","(Ibrahimi et al., 2024)"
49,Trichoptera,Hydroptilidae,"Orthotrichia tragetti Mosely, 1930","(Salihu et al., 2023)"
50,Trichoptera,Hydroptilidae,"Oxyethira falcata Morton, 1893","(Ibrahimi et al., 2024)"
51,Trichoptera,Hydroptilidae,"Stactobiella risi (Felber, 1908)","(Ibrahimi et al., 2024)"
52,Trichoptera,Lepidostomatidae,"Crunoecia irrorata (Curtis, 1834)","(Ibrahimi & Sejdiu, 2018)"
53,Trichoptera,Lepidostomatidae,"Crunoecia monospina Botosaneanu, 1960","(Ibrahimi et al., 2016)"
54,Trichoptera,Lepidostomatidae,"Lepidostoma basale (Kolenati, 1848)","(Ibrahimi et al., 2014)"
55,Trichoptera,Lepidostomidae,"Lepidostoma hirtum (Fabricius, 1775)","(Ibrahimi et al., 2024)"
56,Trichoptera,Leptoceridae,"Adicella altandroconia Botosaneanu & Novak, 1968","(Ibrahimi et al., 2015)"
57,Trichoptera,Leptoceridae,"Adicella balcanica Botosaneanu & Novak, 1965","(Ibrahimi & Sejdiu, 2018)"
58,Trichoptera,Leptoceridae,"Adicella filicornis (Pictet, 1834)","(Ibrahimi et al., 2014)"
59,Trichoptera,Leptoceridae,"Adicella syriaca Ulmer, 1907","(Ibrahimi et al., 2014)"
60,Trichoptera,Leptoceridae,"Athripsodes bilineatus Linnaeus, 1758","(Ibrahimi et al., 2014)"
61,Trichoptera,Leptoceridae,"Athripsodes cinereus Curtis, 1834","(Ibrahimi et al., 2014)"
62,Trichoptera,Leptoceridae,"Ceraclea albimacula (Rambur, 1842)","(Ibrahimi et al., 2012)"
63,Trichoptera,Leptoceridae,"Ceraclea dissimilis (Stephens, 1836)","(Ibrahimi et al., 2019)"
64,Trichoptera,Leptoceridae,"Leptocerus interruptus (Fabricius, 1775)","(Ibrahimi et al., 2014)"
65,Trichoptera,Leptoceridae,"Mystacides azurea (Linnaeus, 1761)","(Ibrahimi et al., 2014)"
66,Trichoptera,Leptoceridae,"Mystacides nigra (Linnaeus, 1758)","(Ibrahimi et al., 2014)"
67,Trichoptera,Leptoceridae,"Triaenodes bicolor (Curtis, 1834)","(Ibrahimi et al., 2017)"
68,Trichoptera,Limnephilidae,"Allogamus auricollis braueri Kolenati, 1859","(Ibrahimi et al., 2017)"
69,Trichoptera,Limnephilidae,"Allogamus uncatus (Brauer, 1857)","(Ibrahimi et al., 2019)"
70,Trichoptera,Limnephilidae,"Anabolia furcata Brauer, 1857","(Ibrahimi et al., 2014)"
72,Trichoptera,Limnephilidae,"Annitella triloba Marinković-Gospodnetić, 1955","(Ibrahimi & Sejdiu, 2018)"
73,Trichoptera,Limnephilidae,"Chaetopteroides kosovarum Ibrahimi & Oláh, 2013","(Ibrahimi et al., 2019)"
74,Trichoptera,Limnephilidae,"Chaetopteryx bosniaca Marinkovic-Gospodnetic, 1959","(Bilalli et al., 2018)"
75,Trichoptera,Limnephilidae,"Chaetopteryx gonospina Marinkovic-Gospodnetic, 1966","(Bilalli et al., 2018)"
76,Trichoptera,Limnephilidae,"Chaetopteryx stankovici Marinković-Gospodnetić, 1966","(Ibrahimi et al., 2014)"
77,Trichoptera,Limnephilidae,"Drusus biggutatus (Pictet, 1834)","(Ibrahimi et al., 2014)"
78,Trichoptera,Limnephilidae,"Drusus botosaneanui Kumanski, 1968","(Ibrahimi et al., 2014)"
79,Trichoptera,Limnephilidae,"Drusus dardanicus Ibrahimi & Kučinić, 2015","(Ibrahimi et al., 2015)"
80,Trichoptera,Limnephilidae,"Drusus discolor (Rambur, 1842)","(Ibrahimi et al., 2014)"
81,Trichoptera,Limnephilidae,"Drusus discophorus Radovanovic, 1942","(Gashi et al., 2015)"
82,Trichoptera,Limnephilidae,Drusus fortos Ibrahimi & Olah 2017,"(Olah, 2017)"
83,Trichoptera,Limnephilidae,"Drusus krusniki Malicky, 1981","(Ibrahimi et al., 2014)"
84,Trichoptera,Limnephilidae,"Drusus schmidi Botosaneanu, 1960","(Ibrahimi et al., 2014)"
85,Trichoptera,Limnephilidae,"Drusus sharrensis (Ibrahimi & Previšić, 2016)","(Ibrahimi, Vitecek, et al., 2016)"
86,Trichoptera,Limnephilidae,"Drusus tenellus Klapálek, 1898","(Ibrahimi et al., 2014)"
87,Trichoptera,Limnephilidae,Drusus vekon Ibrahimi & Olah 2017,"(Olah et al., 2017)"
88,Trichoptera,Limnephilidae,"Ecclisopteryx keroveci Previšić, Graf & Vitecek, 2014","(Ibrahimi et al., 2015)"
89,Trichoptera,Limnephilidae,"Glyphotaelius pellucidus (Retzius, 1783)","(Salihu et al., 2023)"
90,Trichoptera,Limnephilidae,"Grammotaulius nigropunctatus (Retzius, 1783)","(Ibrahimi et al., 2012)"
91,Trichoptera,Limnephilidae,"Halesus digitatus (Schrank, 1781)","(Bilalli et al., 2018)"
92,Trichoptera,Limnephilidae,"Halesus tesselatus (Rambur, 1842)","(Ibrahimi et al., 2015)"
93,Trichoptera,Limnephilidae,"Ironoquia dubia (Stephen, 1738)","(Ibrahimi et al., 2018)"
94,Trichoptera,Limnephilidae,"Limnephilus affinis Curtis, 1834","(Ibrahimi et al., 2014)"
95,Trichoptera,Limnephilidae,"Limnephilus aurícula Curtis, 1834 ","(Ibrahimi et al., 2014)"
96,Trichoptera,Limnephilidae,"Limnephilus bipunctatus Curtis, 1834","(Ibrahimi et al., 2014)"
97,Trichoptera,Limnephilidae,"Limnephilus centralis Curtis, 1834","(Ibrahimi & Thaqi, 2016)"
98,Trichoptera,Limnephilidae,"Limnephilus decipiens (Kolenati, 1848) ","(Ibrahimi et al., 2014)"
99,Trichoptera,Limnephilidae,"Limnephilus flavicornis (Fabricius, 1787)","(Ibrahimi et al., 2019)"
100,Trichoptera,Limnephilidae,"Limnephilus flavospinosus (Stein, 1874)","(Ibrahimi et al., 2019)"
101,Trichoptera,Limnephilidae,"Limnephilus fuscicornis Rambur, 1842","(Ibrahimi et al., 2019)"
102,Trichoptera,Limnephilidae,"Limnephilus hirsutus (Pictet, 1834)","(Ibrahimi & Vehapi, 2017)"
103,Trichoptera,Limnephilidae,"Limnephilus lunatus Curtis, 1834","(Ibrahimi et al., 2019)"
105,Trichoptera,Limnephilidae,"Limnephilus petri Marinkovic-Gospodnetic, 1966","(Ibrahimi et al., 2014)"
106,Trichoptera,Limnephilidae,"Limnephilus sparsus Curtis, 1834","(Ibrahimi et al., 2014)"
107,Trichoptera,Limnephilidae,"Limnephilus stigma Curtis, 1834","(Ibrahimi et al., 2014)"
108,Trichoptera,Limnephilidae,"Limnephilus vittatus (Fabricius, 1798)","(Ibrahimi et al., 2014)"
109,Trichoptera,Limnephilidae,"Mesophylax aspersus (Rambur, 1842)","(Ibrahimi et al., 2015)"
110,Trichoptera,Limnephilidae,"Micropterna caesareica Schmid, 1959","(Ibrahimi et al., 2013)"
111,Trichoptera,Limnephilidae,"Micropterna fissa McLachlan, 1875","(Ibrahimi et al., 2013)"
112,Trichoptera,Limnephilidae,"Micropterna lateralis (Stephens, 1837)","(Bilalli et al ., 2024)"
113,Trichoptera,Limnephilidae,"Micropterna nycterobia McLachlan, 1875","(Ibrahimi et al., 2013)"
114,Trichoptera,Limnephilidae,"Micropterna sequax McLachlan, 1875","(Ibrahimi et al., 2013)"
115,Trichoptera,Limnephilidae,"Potamophylax cingulatus (Stephens, 1837)","(Ibrahimi et al., 2014)"
116,Trichoptera,Limnephilidae,"Potamophylax coronavirus Ibrahimi, Bilalli & Vitecek 2021","(Ibrahimi et al., 2021)"
117,Trichoptera,Limnephilidae,Potamophylax fules Olah & Ibrahimi 2013,"(Olah et al., 2013)"
118,Trichoptera,Limnephilidae,"Potamophylax goulandriorum Malicky, 1974","(Ibrahimi et al., 2014)"
119,Trichoptera,Limnephilidae,"Potamophylax humoinsapiens Ibrahimi & Bilalli, 2023","(Ibrahimi et al., 2023)"
120,Trichoptera,Limnephilidae,Potamophylax kosovaensis Ibrahimi & Bilalli 2023,"(Ibrahimi et al., 2024)"
121,Trichoptera,Limnephilidae,"Potamophylax latipennis (Curtis, 1834)","(Ibrahimi & Sejdiu, 2018)"
122,Trichoptera,Limnephilidae,"Potamophylax luctuosus (Piller and Mitterpacher, 1783)","(Ibrahimi et al., 2014)"
123,Trichoptera,Limnephilidae,"Potamophylax pallidus (Klapálek, 1899)","(Ibrahimi et al., 2014)"
124,Trichoptera,Limnephilidae,"Potamophylax rotundipennis (Brauer, 1857)","(Ibrahimi et al., 2016)"
125,Trichoptera,Limnephilidae,"Psilopteryx montanus Kumanski, 1968","(Ibrahimi et al., 2014)"
126,Trichoptera,Limnephilidae,Rhadicoleptus alpestris macedonicus Botosaneanu & Riedel 1965,"(Gashi et al., 2015)"
127,Trichoptera,Limnephilidae,"Rhadicoleptus macedonicus Botosaneanu & Riedel, 1965","(Ibrahimi et al., 2019)"
128,Trichoptera,Limnephilidae,"Stenophylax meridiorientalis Malicky, 1982","(Ibrahimi et al., 2019)"
129,Trichoptera,Limnephilidae,"Stenophylax mitis McLachlan, 1875","(Bilalli et al., 2018)"
130,Trichoptera,Limnephilidae,"Stenophylax permistus McLachlan, 1895","(Ibrahimi et al., 2016)"
131,Trichoptera,Odontoceridae,"Odontocerum albicorne (Scopoli, 1763)","(Ibrahimi et al., 2015)"
132,Trichoptera,Odontoceridae,"Odontocerum hellenicum Malicky, 1972","(Ibrahimi et al., 2015)"
133,Trichoptera,Philopotamidae,"Philopotamus montanus (Donovan, 1813)","(Ibrahimi et al., 2014)"
134,Trichoptera,Philopotamidae,"Philopotamus variegatus (Scopoli, 1763)","(Ibrahimi et al., 2014)"
135,Trichoptera,Philopotamidae,"Wormaldia juliani Kumanski, 1979","(Bilalli et al., 2023)"
136,Trichoptera,Philopotamidae,"Wormaldia occipitalis (Pictet, 1834)","(Ibrahimi et al., 2014)"
137,Trichoptera,Philopotamidae,"Wormaldia pulla (McLachlan, 1878)","(Ibrahimi et al., 2012)"
138,Trichoptera,Philopotamidae,"Wormaldia subnigra McLachlan, 1865","(Ibrahimi et al., 2014)"
139,Trichoptera,Phryganeidae,"Agrypnia varia (Fabricius, 1793)","(Ibrahimi et al., 2019)"
140,Trichoptera,Phryganeidae,"Oligotricha striata (Linnaeus, 1758)","(Ibrahimi et al., 2019)"
141,Trichoptera,Polycentropodidae,"Cyrnus trimaculatus (Curtis, 1834)","(Ibrahimi et al., 2024)"
142,Trichoptera,Polycentropodidae,"Plectrocnemia brevis McLachlan, 1871","(Ibrahimi et al., 2014)"
143,Trichoptera,Polycentropodidae,"Plectrocnemia conspersa (Curtis, 1834)","(Ibrahimi et al., 2019)"
144,Trichoptera,Polycentropodidae,"Plectrocnemia geniculata (McLachlan, 1871)","(Ibrahimi et al., 2019)"
145,Trichoptera,Polycentropodidae,"Plectrocnemia mojkovacensis Malicky, 1982","(Ibrahimi et al., 2019)"
146,Trichoptera,Polycentropodidae,"Polycentropus excisus Klapálek, 1894","(Ibrahimi et al., 2019)"
147,Trichoptera,Polycentropodidae,"Polycentropus flavomaculatus (Pictet, 1834)","(Ibrahimi et al., 2014)"
148,Trichoptera,Polycentropodidae,"Polycentropus ierapetra Malicky, 1972.","(Ibrahimi et al., 2014)"
149,Trichoptera,Polycentropodidae,"Polycentropus irroratus Curtis, 1835","(Ibrahimi et al., 2014)"
150,Trichoptera,Polycentropodidae,"Polycentropus slovenica (Malicky, 1998).","(Ibrahimi et al., 2019)"
151,Trichoptera,Psychomyiidae,"Lype reducta (Hagen, 1868)","(Ibrahimi et al., 2014)"
152,Trichoptera,Psychomyiidae,"Psychomyia klapaleki Malicky, 1995","(Ibrahimi et al., 2012)"
153,Trichoptera,Psychomyiidae,"Psychomyia pusilla (Fabricius, 1781)","(Ibrahimi et al., 2014)"
154,Trichoptera,Psychomyiidae,"Tinodes braueri McLachlan, 1878","(Ibrahimi et al., 2015)"
155,Trichoptera,Psychomyiidae,Tinodes janssensi Jacquemart 1957,"(Ibrahimi et al., 2012)"
156,Trichoptera,Psychomyiidae,"Tinodes pallidulus McLachlan, 1878","(Ibrahimi et al., 2014)"
157,Trichoptera,Psychomyiidae,"Tinodes rostocki McLachlan, 1878","(Ibrahimi et al., 2014)"
158,Trichoptera,Psychomyiidae,"Tinodes unicolor (Pictet, 1834)","(Ibrahimi et al., 2014)"
159,Trichoptera,Ryacophilidae,"Rhyacophila armeniaca Guerin—Meneville, 1843","(Ibrahimi et al., 2014)"
160,Trichoptera,Ryacophilidae,"Rhyacophila aurata Brauer, 1857","(Ibrahimi et al., 2019)"
161,Trichoptera,Ryacophilidae,"Rhyacophila balcanica Radovanović, 1953","(Ibrahimi et al., 2014)"
162,Trichoptera,Ryacophilidae,"Rhyacophila bosnica Schmid, 1970","(Ibrahimi et al., 2014)"
163,Trichoptera,Ryacophilidae,"Rhyacophila fasciata Hagen, 1859","(Ibrahimi et al., 2014)"
164,Trichoptera,Ryacophilidae,"Rhyacophila fischeri Botosaneanu, 1957","(Ibrahimi et al., 2014)"
165,Trichoptera,Ryacophilidae,"Rhyacophila laevis Pictet, 1834","(Ibrahimi et al., 2014)"
166,Trichoptera,Ryacophilidae,"Rhyacophila loxias Schmid, 1970","(Ibrahimi et al., 2015)"
167,Trichoptera,Ryacophilidae,"Rhyacophila macedonica Karaouzas, Valladolid & Ibrahimi, 2022","(Ibrahimi, et al., 2024)"
168,Trichoptera,Ryacophilidae,"Rhyacophila mocsaryi Klapálek, 1898","(Ibrahimi et al., 2014)"
170,Trichoptera,Ryacophilidae,"Rhyacophila nubila Zetterstedt, 1840","(Ibrahimi et al., 2014)"
171,Trichoptera,Ryacophilidae,"Rhyacophila obliterata (McLachlan, 1863)","(Ibrahimi et al., 2014)"
172,Trichoptera,Ryacophilidae,"Rhyacophila obtusa Klapálek, 1894","(Ibrahimi et al., 2014)"
173,Trichoptera,Ryacophilidae,"Rhyacophila palmeni McLachlan, 1879","(Ibrahimi et al., 2014)"
174,Trichoptera,Ryacophilidae,"Rhyacophila polonica McLachlan, 1879","(Ibrahimi et al., 2015)"
175,Trichoptera,Ryacophilidae,"Rhyacophila siparantum Ibrahimi, Bilalli & Kučinić, 2021","(Ibrahimi et al., 2021)"
176,Trichoptera,Ryacophilidae,"Rhyacophila trescaviscensis Botosaneanu, 1960","(Ibrahimi et al., 2014)"
174,Trichoptera,Ryacophilidae,"Rhyacophila tristis Pictet, 1834","(Ibrahimi et al., 2014)"
175,Trichoptera,Sericostomatidae,"Notidobia ciliaris (Linnaeus, 1761)","(Ibrahimi et al., 2014)"
176,Trichoptera,Sericostomatidae,"Notidobia melanoptera Stein, 1863","(Ibrahimi et al., 2014)"
177,Trichoptera,Sericostomatidae,"Oecetis notata (Rambur, 1842)","(Ibrahimi et al., 2014)"
178,Trichoptera,Sericostomatidae,"Oecismus monedula (Hagen, 1859)","(Ibrahimi et al., 2014)"
179,Trichoptera,Sericostomatidae,"Oecismus mucidus McLachlan, 1876","(Ibrahimi & Vehapi, 2017)"
180,Trichoptera,Sericostomatidae,"Sericostoma flavicorne Scheider, 1845","(Ibrahimi et al., 2012)"
181,Trichoptera,Uenoidae,"Thremma anomalum McLachlan, 1876","(Ibrahimi et al., 2014)"
